,종목코드,종목명,현재가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,시가총액비중,상장주식수
0,20,동화약품,"9,390",,0,"9,390","9,420","9,250","68,686","642,794,790","262,276,503,300",0.02,"27,931,470"
1,40,KR모터스,529,,-0.2,530,534,526,"97,273","51,594,399","100,215,915,675",0.01,"189,444,075"
2,50,경방,"10,700",,0.9,"10,650","10,800","10,600","15,098","161,691,700","293,343,389,000",0.02,"27,415,270"
3,60,메리츠화재,"23,650",,-1,"23,850","24,050","23,350","267,013","6,343,694,150","2,688,532,000,000",0.15,"113,680,000"
4,70,삼양홀딩스,"84,600",,2,"82,900","84,700","82,900","11,433","961,388,800","724,537,326,600",0.04,"8,564,271"
5,75,삼양홀딩스우,"50,000",,0.2,"51,000","51,000","49,550",89,"4,439,900","15,202,900,000",0,"304,058"
6,80,하이트진로,"18,250",,1.7,"17,900","18,300","17,900","107,317","1,945,299,050","1,279,938,400,750",0.07,"70,133,611"
7,87,하이트진로2우B,"15,000",,0.3,"14,950","15,000","14,900","1,075","16,068,550","16,952,070,000",0,"1,130,138"
8,100,유한양행,"248,000",,4.2,"237,500","248,500","237,500","68,309","16,726,923,500","3,168,724,520,000",0.18,"12,777,115"
9,105,유한양행우,"212,500",,0.2,"207,000","213,000","207,000",275,"57,834,000","50,189,950,000",0,"236,188"
10,120,CJ대한통운,"169,500",,0.3,"168,000","169,500","167,000","65,666","11,056,476,500","3,866,692,308,000",0.22,"22,812,344"
11,140,하이트진로홀딩스,"8,170",,0.4,"8,140","8,180","8,140","5,767","47,070,730","189,599,270,050",0.01,"23,206,765"
12,145,하이트진로홀딩스우,"8,350",,1,"8,260","8,350","8,260",9,"74,980","3,931,263,500",0,"470,810"
13,150,두산,"99,400",,2.3,"96,800","100,500","96,800","143,911","14,335,732,800","1,812,867,338,800",0.1,"18,238,102"
14,155,두산우,"73,100",,0.8,"72,500","74,000","72,500","10,706","783,116,500","322,449,509,400",0.02,"4,411,074"
15,157,두산2우B,"73,100",,0.3,"72,900","73,400","72,700",167,"12,181,400","72,053,573,500",0,"985,685"
16,180,성창기업지주,"2,090",,0,"2,080","2,090","2,065","104,723","217,584,750","145,780,844,000",0.01,"69,751,600"
17,210,대림산업,"96,900",,-1,"97,400","98,500","95,600","176,326","17,044,531,600","3,372,120,000,000",0.19,"34,800,000"
18,215,대림산업우,"38,550",,-1.3,"38,500","39,000","38,100","4,047","155,263,750","146,490,000,000",0.01,"3,800,000"
19,220,유유제약,"12,700",,1.2,"12,550","12,750","12,450","31,430","397,031,450","80,881,054,900",0,"6,368,587"
20,225,유유제약1우,"7,560",,-1.2,"7,680","7,680","7,530","4,948","37,421,310","8,568,995,400",0,"1,133,465"
21,227,유유제약2우B,"18,550",,0.5,"18,400","18,600","18,350",359,"6,627,950","3,043,684,000",0,"164,080"
22,230,일동홀딩스,"12,550",,0.8,"12,650","12,650","12,450","3,108","38,725,600","131,653,214,800",0.01,"10,490,296"
23,240,한국타이어월드와이드,"16,650",,0,"16,650","16,900","16,550","74,516","1,244,958,800","1,548,785,880,450",0.09,"93,020,173"
24,250,삼천당제약,"49,000",,0.3,"48,600","49,500","48,300","105,235","5,159,614,500","1,083,184,837,000",0.06,"22,105,813"
25,270,기아차,"40,100",,3,"39,050","40,100","39,050","2,035,337","81,068,369,657","16,255,070,214,700",0.93,"405,363,347"
26,300,대유플러스,953,,-1.2,970,970,949,"588,147","560,711,765","97,343,318,723",0.01,"102,144,091"
27,320,노루홀딩스,"12,850",,0,"12,700","13,000","12,700","3,143","40,332,700","170,791,290,350",0.01,"13,291,151"
28,325,노루홀딩스우,"18,500",,0.8,"18,250","18,600","18,000",634,"11,708,800","3,427,125,000",0,"185,250"
29,370,한화손해보험,"5,140",,-0.4,"5,170","5,170","5,110","179,528","921,895,310","600,038,023,100",0.03,"116,738,915"
30,390,삼화페인트,"6,190",,0.2,"6,180","6,220","6,180","4,316","26,728,450","163,655,868,690",0.01,"26,438,751"
31,400,롯데손해보험,"2,905",,0,"2,895","2,915","2,850","128,624","370,408,585","390,083,400,000",0.02,"134,280,000"
32,430,대원강업,"4,970",,1,"4,920","4,970","4,880","94,021","463,976,515","308,140,000,000",0.02,"62,000,000"
33,440,중앙에너비스,"7,480",,-0.1,"7,490","7,500","7,290","8,986","66,297,440","46,578,932,400",0,"6,227,130"
34,480,조선내화,"91,700",,4.2,"88,200","92,800","85,000","25,292","2,266,816,000","366,800,000,000",0.02,"4,000,000"
35,490,대동공업,"5,980",,2.4,"5,860","6,040","5,830","63,406","377,908,630","141,894,695,800",0.01,"23,728,210"
36,500,가온전선,"17,700",,1.1,"17,600","17,700","17,500","2,362","41,541,650","73,638,141,900",0,"4,160,347"
37,520,삼일제약,"37,400",,2.5,"36,200","38,250","35,550","255,703","9,504,255,700","243,100,000,000",0.01,"6,500,000"
38,540,흥국화재,"4,940",,0,"4,905","4,990","4,895","56,902","280,116,135","317,358,666,300",0.02,"64,242,645"
39,545,흥국화재우,"5,400",,0.6,"5,400","5,400","5,310",987,"5,276,160","4,147,200,000",0,"768,000"
40,547,흥국화재2우B,"23,600",,-0.2,"23,750","23,750","23,500","1,124","26,484,000","3,624,960,000",0,"153,600"
41,590,CS홀딩스,"63,200",,0.5,"62,900","63,200","62,200",215,"13,499,100","72,963,262,400",0,"1,154,482"
42,640,동아쏘시오홀딩스,"112,500",,0.9,"111,000","113,500","111,000","8,126","916,385,000","690,558,075,000",0.04,"6,138,294"
43,650,천일고속,"75,800",,0.3,"75,500","75,900","75,400",554,"41,850,300","108,334,876,000",0.01,"1,429,220"
44,660,SK하이닉스,"78,600",,1,"76,700","78,800","76,200","2,688,568","208,525,895,950","57,220,985,889,000",3.29,"728,002,365"
45,670,영풍,"826,000",,0.5,"824,000","832,000","823,000",668,"553,736,000","1,521,525,040,000",0.09,"1,842,040"
46,680,LS네트웍스,"3,320",,0,"3,315","3,350","3,240","98,384","325,718,085","261,626,013,120",0.02,"78,803,016"
47,700,유수홀딩스,"8,620",,-3.2,"8,840","8,910","8,620","78,920","687,182,530","224,480,419,440",0.01,"26,041,812"
48,720,현대건설,"53,900",,-0.9,"54,500","55,300","53,800","515,114","27,988,757,000","6,002,075,733,500",0.35,"111,355,765"
49,725,현대건설우,"185,500",,-0.3,"184,000","188,500","184,000","2,088","389,618,000","18,337,788,000",0,"98,856"
50,760,이화산업,"19,100",,0.3,"18,950","19,200","17,900","5,648","105,967,600","53,480,000,000",0,"2,800,000"
51,810,삼성화재,"293,500",,0.5,"293,000","295,500","292,500","325,663","95,670,807,000","13,904,514,659,500",0.8,"47,374,837"
52,815,삼성화재우,"198,000",,-0.5,"199,500","199,500","196,000","6,105","1,208,957,500","632,016,000,000",0.04,"3,192,000"
53,850,화천기공,"43,050",,1.1,"42,600","43,050","42,550","1,508","64,456,400","94,710,000,000",0.01,"2,200,000"
54,860,강남제비스코,"27,350",,0.6,"27,200","27,400","26,950","4,286","116,367,850","177,775,000,000",0.01,"6,500,000"
55,880,한화,"31,350",,1.5,"31,000","31,500","30,950","121,773","3,811,256,350","2,349,956,342,250",0.14,"74,958,735"
56,885,한화우,"20,950",,-0.2,"20,700","21,100","20,700","3,573","74,617,000","10,041,209,300",0,"479,294"
57,00088K,한화3우B,"15,050",,0.3,"15,000","15,100","14,950","18,713","281,092,000","338,203,600,000",0.02,"22,472,000"
58,890,보해양조,"1,505",,-1.3,"1,515","1,555","1,495","2,622,769","3,979,973,045","145,338,671,730",0.01,"96,570,546"
59,910,유니온,"4,115",,-0.2,"4,170","4,170","4,065","59,979","245,835,400","64,241,812,185",0,"15,611,619"
60,950,전방,"17,700",,0.6,"17,600","17,750","17,450",698,"12,304,050","29,736,000,000",0,"1,680,000"
61,970,한국주철관,"10,000",,0.1,"10,050","10,050","9,950","34,189","342,255,440","228,005,000,000",0.01,"22,800,500"
62,990,DB하이텍,"13,650",,0.4,"13,500","14,050","13,450","398,169","5,476,306,200","606,040,726,200",0.03,"44,398,588"
63,995,DB하이텍1우,"37,800",,0.4,"37,700","38,400","37,000",596,"22,368,500","4,245,544,800",0,"112,316"
64,1000,신라섬유,"2,230",,0,"2,250","2,280","2,190","133,969","297,814,955","54,138,914,200",0,"24,277,540"
